wl	n
18.32	0.663800
18.33	0.664433
18.34	0.665066
18.35	0.665700
18.36	0.666334
18.37	0.666968
18.38	0.667602
18.39	0.668237
18.40	0.668873
18.41	0.669508
18.42	0.670144
18.43	0.670780
18.44	0.671417
18.45	0.672054
18.46	0.672691
18.47	0.673329
18.48	0.673966
18.49	0.674605
18.50	0.675243
18.51	0.675882
18.52	0.676521
18.53	0.677161
18.54	0.677801
18.55	0.678441
18.56	0.679082
18.57	0.679722
18.58	0.680364
18.59	0.681005
18.60	0.681647
18.61	0.682289
18.62	0.682932
18.63	0.683574
18.64	0.684218
18.65	0.684861
18.66	0.685505
18.67	0.686149
18.68	0.686793
18.69	0.687438
18.70	0.688083
18.71	0.688729
18.72	0.689375
18.73	0.690021
18.74	0.690667
18.75	0.691314
18.76	0.691961
18.77	0.692608
18.78	0.693256
18.79	0.693904
18.80	0.694552
18.81	0.695201
18.82	0.695850
18.83	0.696500
18.84	0.697149
18.85	0.697799
18.86	0.698450
18.87	0.699100
18.88	0.699751
18.89	0.700403
18.90	0.701054
18.91	0.701706
18.92	0.702358
18.93	0.703011
18.94	0.703664
18.95	0.704317
18.96	0.704971
18.97	0.705625
18.98	0.706279
18.99	0.706933
19.00	0.707588
19.01	0.708243
19.02	0.708899
19.03	0.709555
19.04	0.710211
19.05	0.710867
19.06	0.711524
19.07	0.712181
19.08	0.712839
19.09	0.713496
19.10	0.714154
19.11	0.714813
19.12	0.715472
19.13	0.716131
19.14	0.716790
19.15	0.717450
19.16	0.718110
19.17	0.718770
19.18	0.719431
19.19	0.720092
19.20	0.720753
19.21	0.721415
19.22	0.722076
19.23	0.722739
19.24	0.723401
19.25	0.724064
19.26	0.724727
19.27	0.725391
19.28	0.726055
19.29	0.726719
19.30	0.727383
19.31	0.728048
19.32	0.728713
19.33	0.729379
19.34	0.730044
19.35	0.730711
19.36	0.731377
19.37	0.732044
19.38	0.732711
19.39	0.733378
19.40	0.734046
19.41	0.734714
19.42	0.735382
19.43	0.736051
19.44	0.736719
19.45	0.737389
19.46	0.738058
19.47	0.738728
19.48	0.739398
19.49	0.740069
19.50	0.740740
19.51	0.741411
19.52	0.742082
19.53	0.742754
19.54	0.743426
19.55	0.744099
19.56	0.744771
19.57	0.745444
19.58	0.746118
19.59	0.746791
19.60	0.747465
19.61	0.748140
19.62	0.748814
19.63	0.749489
19.64	0.750164
19.65	0.750840
19.66	0.751516
19.67	0.752192
19.68	0.752868
19.69	0.753545
19.70	0.754222
19.71	0.754900
19.72	0.755578
19.73	0.756256
19.74	0.756934
19.75	0.757613
19.76	0.758292
19.77	0.758971
19.78	0.759651
19.79	0.760330
19.80	0.761011
19.81	0.761691
19.82	0.762372
19.83	0.763053
19.84	0.763735
19.85	0.764417
19.86	0.765099
19.87	0.765781
19.88	0.766464
19.89	0.767147
19.90	0.767830
19.91	0.768514
19.92	0.769198
19.93	0.769882
19.94	0.770567
19.95	0.771252
19.96	0.771937
19.97	0.772622
19.98	0.773308
19.99	0.773994
20.00	0.774681
20.01	0.775368
20.02	0.776055
20.03	0.776742
20.04	0.777430
20.05	0.778118
20.06	0.778806
20.07	0.779495
20.08	0.780183
20.09	0.780873
20.10	0.781562
20.11	0.782252
20.12	0.782942
20.13	0.783633
20.14	0.784323
20.15	0.785015
20.16	0.785706
20.17	0.786398
20.18	0.787090
20.19	0.787782
20.20	0.788474
20.21	0.789167
20.22	0.789861
20.23	0.790554
20.24	0.791248
20.25	0.791942
20.26	0.792636
20.27	0.793331
20.28	0.794026
20.29	0.794722
20.30	0.795417
20.31	0.796113
20.32	0.796810
20.33	0.797506
20.34	0.798203
20.35	0.798900
20.36	0.799598
20.37	0.800295
20.38	0.800993
20.39	0.801692
20.40	0.802391
20.41	0.803090
20.42	0.803789
20.43	0.804488
20.44	0.805188
20.45	0.805889
20.46	0.806589
20.47	0.807290
20.48	0.807991
20.49	0.808692
20.50	0.809394
20.51	0.810096
