wl	n
15.250	2.67E-03
15.431	4.59E-03
15.617	6.46E-03
15.808	7.22E-03
16.003	6.82E-03
16.203	5.75E-03
16.408	4.52E-03
16.618	3.24E-03
16.834	4.21E-03
17.056	6.39E-03
17.283	5.17E-03
17.517	4.35E-03
17.757	5.50E-03
18.003	6.08E-03
18.257	6.93E-03
18.518	8.55E-03
18.786	1.01E-02
19.062	1.34E-02
19.347	1.53E-02
19.640	1.62E-02
19.942	1.61E-02
